date | value
2024-03-11 | 123
2011-01-03 | 3
2011-01-03 | 2a
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 1f
2012-01-11 | 2147483648
2022-03-29 | 1
-100-10-10 | 1
2012-01-20w | 1
2022-03-29w | 1
2022-03-29- | 1
2012-01-02 | 1000.1
9999-12-12 | 1
20120-01-02 | 1
2012-1-20 | 1
2005-01-31 | 1
0000-10-10 | 1
2011-02-29 | 1
2012-02-29 | 1
3000-02-29 | 1
2011-02-31 | 1
2012-1w-20 | 1
---1--1--1 | 1
-10a-01-01 | 1
2012-01-02 | -1
2012-01-02 | --1
2012-01-02 | 1..0
2012-01-02 |
2012-01-02 |
2012-01-02 - 1
2012-01-02 || 1
2012-01-02 | 1a
2012-01-02 | \1
2012-01-02 999
